source,category,complex_count,fraction_within_source
RCSB PDB,"E3:PDB experimental complex, 123 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 97 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 81 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 157 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 32 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 69 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 173 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 44 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 20 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 86 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 158 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 155 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 88 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 150 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 41 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 166 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 57 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 217 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 102 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 141 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 108 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 179 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 111 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 40 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 50 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 109 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 130 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 94 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 22 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 121 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 140 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 93 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 38 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 47 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 95 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 33 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 134 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 171 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 82 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 65 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 68 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 100 contact atom pairs <=5A",7,0.003977272727272727
RCSB PDB,"E3:PDB experimental complex, 127 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 170 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 174 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 45 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 160 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 144 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 153 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 115 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 52 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 90 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 91 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 165 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 176 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 98 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 107 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 61 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 80 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 46 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 147 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 37 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 15 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 184 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 35 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 7 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 19 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 92 contact atom pairs <=5A",6,0.003409090909090909
RCSB PDB,"E3:PDB experimental complex, 188 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 138 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 110 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 131 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 10 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 66 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 175 contact atom pairs <=5A",5,0.002840909090909091
