rank,sequence_hash,complex_count
127,96c80cda27a0d5ee44c69c0f0b734a5bdbe91e1bc198d0d60bbe839f6c22237b,121
128,73547a69d726efb783ce8222384bf9212100cb2606bff9ea7996c8b138f4f303,118
129,32130eadc374cb87371ce572db572513bd5824299014e4d8e8ca45b002e42f49,117
130,50aceb523187df7b1de28f4831385e42ea889e02268107d81adcd59941fce8f9,116
131,f20de98a17aa850d62f3f4cd25a24a134c9eb17630b0b717a986bcc4d4ab58fe,114
132,6fdec3aedc32df88d86652f68d7b24686798a1a125fa891016b19baf3e339176,113
133,fcd3aa727b7a19f001e9586c8c23470be724f3b9ea20c7239ae729603a6a829d,113
134,ba72c0c6a1a31e3f5f1e58ce16962eafea82ab6acd31bf9eae35f826dba36570,111
135,d25ca147d658515cdc0d3667be00edb3e0ed37339f10343e7e59b75014661369,111
136,0472f1c5d0009e840b47541564d7889ed2461d4f06ea85258ecc0e027c476537,108
137,26508091deb7bac4e9296c061b939eaadee37fc8c3d5d79a16cd1f03f9598fc7,107
138,af036d61c483b1ea83fd4fd95c7fe35c01f7b5de41ad5e2e3093e5b95659a188,107
139,3bbf9c3bd9646858b49be003f48da8a0020720875c14519158b5558026cf739c,104
140,9c0d95fe1350fcb7a1509afc6bbcff123164e6bcfb659204b2d88a11f893a494,102
141,a805e76fbddb9ac7ddc9f0a5f81b0f398d8fc5e4569fb60201416eea78d5d6e9,101
142,1df26202316593dd4060c5e3b336a6552ebdada479d5f0084df6617158c8e36d,97
143,0d3c7e34381e223af2ae7e8184dfb117a57782457c24ae9450942ff22b5ea4c7,96
144,e3d911c06c298fc9f688f6ba615679c0559de91b013499e3ed8b01c2a0d3abbf,87
145,0ca994fdd07a1c873edcaf1fb941ed420716d261c98ed2c7405eee1b8cd8ce5e,84
146,397622d5ff2988e126c7e2ccbe437afbca51eb628e975c2d18c852b58488cf2a,82
147,f38477763833ad45b72e03cb48014af398acdca635f0bf9cddaaddcbf31eb0e4,81
148,f54ad9cc8797393ea3dd0b5506cd8f261b8d6f37cef975489daaec7215287f5e,74
149,77f7198048a5553899c0174d2127b6bd97db77da1a66f745e8f05adfbad8541d,73
150,d427afb92250023b8ef9046acacf2809177b2ffcb0ba9c6e1f2f98be2b455599,73
151,6a974ec1881e70060ff8907c1f62aa9bacc105a8689f5edfb19c25ec6a438316,72
152,8fdde7a3c026c5219e0871010cd432b558b191ac36a7af37b71eb211865fc066,70
153,8b2e054eee76971aa48f4d8f9cf47661f747aba633eacceb25a35ff1c110d9d3,65
154,7d07b9c9ea2c81ee27ed5b7691cf3b8debcae1f59cd8e08eb93ed2393d6b7d98,64
155,d658a19bbc4cce7a7ecfac54d13f92d5808e76e5ff8265446bf9d450de358347,64
156,39f2720dd8390b0daf907500618c40e819e8b059cef3291929426ee935e91206,60
157,5527513454aaed963795299a876802e551240f708eadf060fb6565b252157504,59
158,fc75f7cb2ed941132d79a51facf7221bbbd9258007a7f94092b893d6d67ece64,59
159,a45a76a001aa818c970bb0e6c58f5eca443449e062fd33d8271a833be042dfcb,54
160,1e889d9db72860b42f1fc14c9e85e180f58ed98c84ea1aefbd714eb3519d329a,51
161,b6326109a9dc44502bb0506188b5790a4a6673179430ed62006d595daa05936c,51
162,59c41a6d039baca066f5751d5d7e0789a011cef987e5c1c07bd8fd307e074a2d,46
163,2a536d9bb8c18c590b8c2cc99bf26360e3ddeb9679d4711267e2234d8d354108,41
164,0a59d788503e05b0d9e28742df1dfc327694cd30eea8e9ef40f9bee357ea6852,39
165,8dd0eaafb1588d422d6113363e4c679f879a6a704fe04dc44b98b1636a19ce2b,39
166,4f262363ce32c00cb3ebdb0a9895f255e59d51e26b7d4141cebd0e49c7b4c1cf,36
167,9d9d4a3ed5d9982423e8f3260b402ae9636f0026ca0b1fe65ec5804bc4746830,34
168,ebda248e6578cee194c0233919cd8045a87e49b67e516949d3642b887d184a1e,31
169,5e7fe8420d821b439b7c0323e70a046980c0264ac0b57440fdc6e6b8d8f969db,30
170,ab64ec150b77c414768a59996cb8113007eb8a4ff28f0a2b2ed10fa1bed5a686,30
171,4d6d31375209a4a4bc0e68935f83c625e13e62c95f4c6d39e2da39e6810deb75,29
172,7f21c89f92a6502f356d83204513fb43fd94e59f6e4ba9bb315c7784e17cc062,29
173,73b4b6d617c8a869cd69984dd17da6fcac4f459d6fc74c4b39104414345bb863,28
174,e183c99506ee210412557db9043079c7eb22e7d47a98a40852fdfca4ccb60c39,28
175,98ff5262a66b0fb03a8986d64ca6629dadc85a2a83ae862f3f43d36f17053fc9,26
176,a4721eaaba2b39cb26e99f1e8f2c57530677fc35eb92f75dc96be80d609a72f0,26
177,0eabb53a2be075856787466632240dda0083782ae9ded4d5ea8ae890e8d1dc60,24
178,2442a1f4027d5a6cde796a71ea633f7819602a2519852e5bfe98db999ef2b6cf,24
179,a1fab640dcd6be6fa94464481d978e3b93a64c27b39de43c46a6e528c47341a6,24
180,637a7e6f751b0314117389f474d8311a64f17a63ff83af5f11dd844fef880dd6,23
181,a2a7b1b56a5a06b0b89d91f032352c7c916c73f6b561a5e753758b959110241d,22
182,2499595259fe846326edcec2c21b7dc3585c72e3573f1ed320bcc4a9af0c8bad,20
183,5b78b757fbbde46885798ec4209a441f218c68136029bb129dfa2af58fc9622b,19
184,7fd695051f4714fd112549120204664c26e64d7031b27b5ac19b5bcde843d5b9,19
185,0d64fb6a8a66f0ad42b6fabee8bb1516390cba9e52c9a9f8944c1db406d287b8,18
186,5c08f578a275fa7043a4213697c791d26d5c0172c6df77c4aac3a1a62f19495c,17
187,90c481f7eca19b89ffaf215542bdc06e6f159a751e1038a1a1f883ade31f4eba,15
188,f22dbb26260f83b2889d9bfeca03850b19d5df1e699e74d59571d5c53b68fc5f,15
189,b377dc72eeefcb7361ed7b5d9f08a22f2ac3973874c0211e74f18ecc7cb054c5,14
190,4d370c03e7e9411e6cc12a970fb1034fef926461b0a9fba0a7626257e1368bb2,12
191,7d0944b57469749665e144c40a5b53c0054cde74d4f5de3975c40b4dc585c6c0,11
192,db95ae7f05787a104b78754186041713adde01c2c5253d6f261918417a424168,11
193,017631c640a154b015945671ae73c48b36df83b305988ce68d754a4a6b1d494b,10
194,1ce8e1bf7ff1d23dc836a55f182a537add795e38990cf1f7f870e12b8b992b35,10
195,85980b53112b1c14134cc4eaae21668ec7b706c6ebcfdeff5df2c37848948de4,10
196,a2ad3f52daa5740755ca14f0a5a1c060d28a58645d39ca59b2f1779ad7b3ff92,10
197,c39e09f2d54f0c21d4f4f3e6306349799f77c3e95b25fc524647088c95ea678c,10
198,0702a4839594a01b96ceb6a4a7db99e0481d239f7c763ad2256c88d5e9e7b249,9
199,5a38009bf089dac29d207858fa54ad34909f45a220d561cc0d16992c6f6bab19,9
200,c9c62f6c94abd2acf75c022e43fd489bb14d2e6652fa08c0ee4d1586e39de797,9
201,dac37464055cfa614bde75cdec00d02ba138604a13810cc76bef74a1f50e6c59,9
202,e3d5ce2359ff43d2f185adcaf403d48250ee22da517c26ed982e8c8d86308b90,9
203,eb825280396e277ec7f873954486d04a51d17a68fd7d568c5237398715e76c28,9
204,f246d2e186552bb794816bf33cb77d05cc9c4363fbd94266482b3b7157c63799,9
205,3947d5817aefb4513ad5a2c41e91ee535139c783aa5ad1e753b1ebe372f05115,8
206,7db0a908ad8efe6b0b3e37c00bc46bbd205b8c6a74d05e07ec0f27555f3c54cf,8
207,d7d629341c014f3d360bfde0cf1a7c06b939055d9e493eaf6bd047eed85a519c,8
208,de5d96c9d8e7a9085c334baf9c5585f73e03c0c43088632aeb433318aadab21a,8
209,ed5cb68674f2cd660db6cd743555d12b06fc6652e6f8ce08201acfdad9083f08,8
210,1784078ae7b1bc672070d56747e80ceb4a2b74641a277d3ca595a4e0fd478b01,7
211,18bd30530386ffbf38cac081687f2e7a84b69580f634b6cbc52b71e4860ca9ad,7
212,37892504ee980fd328015aac25738a4d34825fdaadf3d8521ffd2b32fb46269a,7
213,4a6eb06582334b09169e21ac5f2a6e35842357c03cd310a4c5d742b2b1b7842c,7
214,661d6f24487776dd28c45b637aa4c8ff5fa8cad294330ab0b63c8645e2b890c6,7
215,6f49ffe07208eb1a3d9b63e0729d85a3f50f5b5b04fc8888a0f955bf90ce28bb,7
216,a99e422fc711eece72f3eb7bdd1cda4475fb61a5e0c978b23c0c5b372c06ac6d,7
217,de190e8a858486a57faef2788fa00e424404e8a5f9a13eb3239672a871be9a7f,7
218,e1d642cb550ec3a375be6b5eee6dc2f95d4254bea14450363e951eef162459d8,7
219,eafecfdd18070cecdb86131237e12f2913249e5fca084d9b4e93beb0ff26a872,7
220,10350af108918037f803460492e953883463e9e53204b51c4cdee0bae575cc50,6
221,27812a7f29de4c6d62fe79357a6769106bc85b37e879bf8a390101a242516548,6
222,313117431a8c3892766e5d52d4cebab709f6dc830a45dc880f0e913fe80bec0e,6
223,4c1f66bf80402e2b6ebfc227a58bfdc5f9e57f48fbe6673245b427e0327c8e5a,6
224,57e5db73a694d5248b49c243d1e9fe5c99c90610cc7df3d2779f7fc05e92c174,6
225,59f28fab5218db94ebf67304404da7c509aa90bed661f72a236a1feb2172d8fa,6
226,9f400b4da38ae08e2a1454ee87f33c27193bb5159d5081eb93e552112b27ffa7,6
