complex_id,source,rna_hash,length_nt
PAIR:1b6f8694faa09236f6f5ce809e885252659f7ecdf3f6b577a7497c99834de6ad,NPInter binding-site,733c8a16677b35a7cf4e90b4f68cf6adf7b4ffd468eb7fe49afa3f15ae721bac,30
PAIR:4fa8f7d4730d7a4e566cb3d3393b3c390373fbe07933436219ea0d777c186df0,NPInter binding-site,0ec79c8a3503d23e69a889c6571d3768e5df3c739693e9d4e47aa35caa179327,90
PAIR:85645a3b21764f762fd3f34b92a9940080e91988822b30429f91e5cd08483218,NPInter binding-site,057e89259bae3a8601ebf8d4c8f96bc2c1cb3f9399c73b717e3932cdb7f19bef,11
PAIR:cbc160ef12eaeca8290c2acb26e97dc706494d2ddd0a8651de2e194244daa090,NPInter binding-site,3a700fcd24180ce3ebfcd69b5f696612f0f72db3c319f25eb86848fdbf6e6b8b,20
PAIR:95869f98a32e6d1e95622f8e51224f103988b7cb18e268aa0cd3abd096738aa2,NPInter binding-site,cecec3a428aedb05e50a356cefa4c25f339bbb3fcb373849019d3d7fad42be5c,36
PAIR:8978e9c4e4215a6ea5a78e92989624c12cd7877c2e85a8be63db38494004912b,NPInter 主表,8fa3d983c5d82bf491c2dddb6d4b7c1267f3993da4ef1a7893a9ac2fa6a1dfc3,478
PAIR:2f6d0a9df748c14a5da6214a7997de01682237fbf852716b00ef8d4cd304b9a3,NPInter binding-site,ebdae6ecfec8ec96dfc91cb73f54c66e68422b1ed45f6e99238e6fcdbc96ef6c,14
PAIR:2665c62c81b64e3805334ec84231ac22cfbbcb280cab86063f0edf29cb438f6a,NPInter binding-site,4b034064c5d829cc35f9afe7cf3fd217bd275d93946a1dd1ae0e67735421d529,74
PAIR:66b61bea3a5be2d9014d98f9fc76dfa62ff739b4710f4b6b12d2016db4ca2851,NPInter 主表,6b3d7d31d7fc5e752a775341bdb01a37822fc84324e3141cc4e167bdb67e6740,372
PAIR:a227151cfbb070a03174ff4a9562f66f8ddb496abf98fed89dba4e5f3feb35dc,NPInter binding-site,6b0a5ff81205ef9bbcbae37f18f9a348df041a6ea4f05b9a68dd75fea7cd461f,34
PAIR:ad155af493f3b9da041425a4824831739ad78e1ac7dddc37a44b4887c3b14cf6,NPInter binding-site,28f80d523c9db2184bf75bacad922ced5853d8f2771648f5ecbd9c9225de7a57,51
